что мы предлагаем,,
стабильные перспективы профессионального роста и развития в структуре государственной гражданской службы,,
работа в офисе в центре города,,
"график работы: 5/2, с понедельника по четверг с 08:00 до 17:00, пятница с 08:00 до 16:00",,
своевреме​нная выплата заработной платы,,
​ежемесячные премии по результатам работы,,
​надбавки за классный чин и за выслугу лет,,
"ежегодный оплачиваемый отпуск продолжительностью 30 дней, с дополнительными днями за выслугу лет (от 1 до 10 дней)",,
,,
отдел,ОТДЕЛ ИНФОРМАЦИОННЫХ РЕСУРСОВ И ТЕХНОЛОГИЙ,включая специалистов в г. Курган
должность,Специалист 1 разряда,
требования,обязанности,контактная информация
высшее образование по направлениям подготовки (специальностям) профессионального образования: «Информационные системы и технологии»,планирование необходимых мероприятий по поддержке и развитию информационной инфраструктуры,"Административный отдел (включая специалистов в г. Курган) тел. 8 (343)371-98-14, Е-mail: 66.15@rosstat.gov.ru"
"отсутствие судимости, годность по состоянию здоровья для работы на государственной службе","распределение задач между сотрудниками в соответствии с их навыками, опытом и способностями, контроль выполнения работы",Отдел информационных ресурсов и технологий (включая специалистов в г. Курган) тел. 8 (343) 371-07-45
коммуникативные умения,администрирование серверов Windows,
"ответственность, исполнительность, аккуратность",администрирование IT инфраструктуры (в том числе active directory),
,обновление версий ПО,
должность,Специалист 2 разряда,
требования,обязанности,контактная информация
"высшее образование по направлениям подготовки (специальностям) профессионального образования: «Информационные системы и технологии», «Информатика и вычислительная техника», «Информационная безопасность» и др.",планирование необходимых мероприятий по поддержке и развитию информационной инфраструктуры,"Административный отдел (включая специалистов в г. Курган) тел. 8 (343)371-98-14, Е-mail: 66.15@rosstat.gov.ru"
"отсутствие судимости, годность по состоянию здоровья для работы на государственной службе","распределение задач между сотрудниками в соответствии с их навыками, опытом и способностями, контроль выполнения работы",Отдел информационных ресурсов и технологий (включая специалистов в г. Курган) тел. 8 (343) 371-07-45
коммуникативные умения,администрирование серверов Windows/Linux,
"ответственность, исполнительность, аккуратность",администрирование IT инфраструктуры (в том числе active directory),
,обновление версий ПО,
,обеспечение резервного/архивного копирования,
,анализ использования аппаратных и программных средств,
,внедрение информационных систем,
, поддержка систем мониторинга работы оборудования и ПО,
отдел,ОТДЕЛ НЕИНФОРМАЦИОННЫХ РЕСУРСОВ И ТЕХНОЛОГИЙ,включая специалистов в г. Курган
должность,Специалист 1 неразряда,
требования,обязанности,контактная информация
высшее образование по направлениям подготовки (специальностям) профессионального образования: «Информационные системы и технологии»,планирование необходимых мероприятий по поддержке и развитию информационной инфраструктуры,"Административный отдел (включая специалистов в г. Курган) тел. 8 (343)371-98-14, Е-mail: 66.15@rosstat.gov.ru"
"отсутствие судимости, годность по состоянию здоровья для работы на государственной службе","распределение задач между сотрудниками в соответствии с их навыками, опытом и способностями, контроль выполнения работы",Отдел информационных ресурсов и технологий (включая специалистов в г. Курган) тел. 8 (343) 371-07-45
коммуникативные умения,администрирование серверов Windows,
"ответственность, исполнительность, аккуратность",администрирование IT инфраструктуры (в том числе active directory),
,обновление версий ПО,
должность,Специалист 2 неразряда,
требования,обязанности,контактная информация
"высшее образование по направлениям подготовки (специальностям) профессионального образования: «Информационные системы и технологии», «Информатика и вычислительная техника», «Информационная безопасность» и др.",планирование необходимых мероприятий по поддержке и развитию информационной инфраструктуры,"Административный отдел (включая специалистов в г. Курган) тел. 8 (343)371-98-14, Е-mail: 66.15@rosstat.gov.ru"
"отсутствие судимости, годность по состоянию здоровья для работы на государственной службе","распределение задач между сотрудниками в соответствии с их навыками, опытом и способностями, контроль выполнения работы",Отдел информационных ресурсов и технологий (включая специалистов в г. Курган) тел. 8 (343) 371-07-45
коммуникативные умения,администрирование серверов Windows/Linux,
"ответственность, исполнительность, аккуратность",администрирование IT инфраструктуры (в том числе active directory),
,обновление версий ПО,
,обеспечение резервного/архивного копирования,
,анализ использования аппаратных и программных средств,
,внедрение информационных систем,
, поддержка систем мониторинга работы оборудования и ПО,
